nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
0.4020562,0.3937714,0.39342272,0.4026037,0.4022658,0.47007608,0.47067985,0.561512,0.5711187,0.65279365,,0.6521789,0.6516948,0.7525126,0.75293607,,
0.40419602,,0.39543825,0.40562698,0.4058236,0.46838355,0.4696902,,,,,,,,,,
0.40435344,0.3963612,0.39576697,0.40654084,0.4067887,0.469325,0.4672804,0.55322045,0.56536883,,,,,,,,
0.40250906,,0.39418173,0.405402,0.40399086,0.46782416,0.46455514,,,,,,,,,,
0.40280724,0.39621088,0.39415258,0.40586275,0.40627682,0.46885502,0.47136205,,0.5661781,,,,,,,,
0.40362704,0.39416775,0.39440474,0.4060505,0.40638,0.47042784,0.4703929,,0.5656065,,,,0.64619815,,,,
0.402538,0.3955824,0.39378425,0.40543494,0.40557265,0.46731803,0.4680303,0.55298495,0.5670507,,,,,,,,
0.40371376,,0.39531168,0.40587652,0.40688968,0.46719056,0.46976694,,0.56086624,,,,,,,,
0.40369844,,0.39551625,0.40594468,0.40633056,0.46855325,0.46780488,0.55094045,0.56112903,,,0.6424234,,,,,
0.40247247,0.39274523,0.39377493,0.40551877,0.40628526,0.47077084,0.47171086,0.5526107,0.56616384,0.63767135,,0.6524384,,,,,
0.40386385,0.3952245,0.39528582,0.40662536,0.4064047,0.46950382,0.4713133,0.5492401,0.5640663,,,0.6470368,,,,,
0.40301663,,0.39443812,0.40586782,0.40632007,0.4697318,0.47264588,0.5489832,0.5601312,,,0.65254056,0.6547729,,,,
0.40289602,0.39690065,0.39430544,0.40711164,0.40692222,0.470124,0.4722361,0.54861575,0.5612808,,,0.6525245,0.6563163,,,,
0.40192765,0.39567527,0.39334482,0.40625834,0.4062096,0.47031093,0.47110718,0.55047107,0.5620002,,,0.6524322,,,,,
0.40244716,0.39315283,0.3929046,0.40666997,0.40500355,0.47054595,0.47281092,0.54360795,0.558427,,,0.65338266,0.65767634,,,,
0.40252805,,0.39286825,0.40732,0.40538174,0.47234887,0.47386533,,,,,0.65405643,0.6602575,,,,
