nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
0.3511879,0.33767545,0.33694148,0.34908533,0.344158,0.44697517,0.4375018,0.56817824,0.56840205,,0.6921858,0.7084645,0.70973295,,,,
0.34434578,0.3308763,0.33316547,0.34605,0.3441081,0.43807006,0.423608,0.55665857,0.5512374,0.6785196,0.6796149,0.683373,0.6892559,,,,
0.34411964,0.33012497,0.33145043,0.34624237,0.34488356,0.43408996,0.42364377,0.5512485,0.5516104,0.66804665,,0.67967784,0.6826109,,,,
0.34359688,0.33339962,0.33272487,0.3465657,0.34505105,0.43840164,0.4251531,0.5551416,0.5510195,0.68280935,0.67700195,0.6874653,0.6907579,,,,
0.34515783,0.3310638,,0.3456065,0.34371006,0.43729067,0.4253075,0.557298,0.55258024,,0.6762365,0.6905326,0.6940739,,,,
0.34479508,0.33084565,,0.34537277,0.34423834,0.4333404,0.42679638,0.55080557,0.5502237,0.67518103,0.6781082,0.6832018,0.68679786,,,,
0.34526753,0.33078146,0.33234203,0.34531635,0.3452351,0.4379698,0.43115637,0.5570408,0.55323505,0.6889049,0.6800513,0.6871667,0.69279194,,,,
0.34603712,0.33214888,0.33333993,0.34538862,0.34417018,0.43587622,0.42728674,0.5526297,0.55298924,0.6865565,0.678347,0.6854631,0.689783,,,,
0.34505087,0.33123505,0.3325951,0.34499893,0.34415096,0.43478382,0.425415,0.5556106,0.5533018,0.6863145,0.6805515,0.68589115,0.69105214,,,,
0.3475778,0.33445048,0.33460993,0.34849727,0.34521306,0.43878183,0.43177134,0.5538844,0.55126214,0.6897805,0.67714155,0.6877402,0.69149745,,,,
,0.33590135,0.33538765,0.3492324,0.34513086,0.43928146,0.4277317,0.5548688,0.5530125,0.69083256,0.6771636,0.6884763,0.6921241,,,,
0.34695253,0.33394977,0.33430326,0.34794122,0.34510207,0.43910274,0.42670307,0.557491,0.55424935,0.690521,0.6780629,0.68723506,0.6917225,,,,
0.34529373,0.33209088,0.33278632,0.3453122,0.34214935,0.43820667,0.4223169,0.5572182,0.55295223,,0.6757163,0.6879143,0.6918111,,,,
0.34425884,0.33214867,0.3327001,0.34469745,0.34236345,0.4326691,0.42013523,0.55519134,0.55194265,,0.6733551,0.6846229,0.6889662,,,,
0.34372112,,0.333497,0.3450752,0.34212396,0.43357885,0.41933942,0.5549163,0.55269784,0.6846658,0.6743617,0.6835853,0.6876031,,,,
0.34249577,0.33068377,0.3310993,0.34323597,0.34023446,0.43507576,0.42327902,0.55362934,0.5509838,0.6738064,0.67096126,0.6823356,0.6882617,,,,
0.34588182,0.33179277,0.33248433,0.34125897,0.3382103,0.42755538,0.41829026,0.54388577,0.5482662,0.65728736,0.6633966,0.67103,0.6771144,,,,
0.3494037,0.33422053,,0.34311867,0.34123325,0.4381101,0.42049366,0.54720455,0.54891694,0.6660602,0.6652988,0.68106526,0.683457,,,,
0.35124978,0.33584374,0.3361848,0.3458855,0.34198985,0.44219655,0.42092735,0.55230504,0.55123305,0.674785,0.6723542,0.6875303,0.69275904,,,,
0.34794807,0.33368552,0.33433804,0.34327096,0.3404368,0.43883157,0.42178425,0.5485927,0.5487357,0.67425025,0.67633414,0.68973225,0.69307613,,,,
,0.33774787,0.33882618,0.34754214,0.34331572,0.4406489,0.42362532,0.55026793,0.5489174,0.6704893,0.66977584,0.68846005,0.6909107,,,,
0.35579953,0.3436683,0.34444666,0.35056293,0.35130668,0.44633734,0.43577406,0.54524004,0.55554354,0.6580119,0.67849016,0.6951021,0.6983196,,,,
0.36410373,0.35070443,0.35131234,0.3624818,0.36054954,0.4622992,0.44925913,0.55811423,0.5589955,0.669098,,0.6980774,0.69845366,,,,
0.3713368,0.35929883,0.3589821,0.36923182,0.3653805,0.45807967,0.44893926,,0.55704457,0.6525765,0.668863,0.6774665,0.6792454,,,,
0.3792238,0.3666625,0.3666606,0.38072464,0.38042736,0.46512386,0.46488988,,0.5715137,,,0.6862006,0.68783724,,,,
,0.38402626,0.38020968,0.39461744,0.39374658,0.48203883,0.4791021,0.5780435,0.5778236,,,0.6891017,0.69034016,,,,
0.4089423,0.40024716,0.39770755,0.40898943,0.4041118,0.4816205,0.47721738,,0.562292,,,,,,,,
,0.4031307,0.40069422,0.41278875,0.41037142,0.486378,0.4842587,,,,,,0.6656995,,,,
0.41187343,0.40415105,0.4036845,0.4135692,0.41069454,0.4848439,0.48678893,0.55518895,,,,0.6618515,0.66677874,,,,
0.4067803,0.39898214,0.39642262,0.409002,0.40807876,0.4777246,0.47940093,,,,,0.6550816,0.66033095,,,,
0.4049461,0.39602065,0.39502007,0.40767598,0.40792412,0.47932264,0.4838397,0.5451967,,,,0.6532439,0.6573409,,,,
0.40490752,0.39590845,0.3950587,0.4068002,0.4067145,0.4797922,0.48099643,0.5429859,0.5572358,,,0.65619093,0.6600467,,,,
,0.40232643,0.40173256,0.41165137,,0.47690028,0.47725415,,,,,0.6387743,0.6399584,,,,
0.41752517,0.41005176,0.41213542,,0.4184013,0.48372406,0.4903571,,,,,,,,,,
0.41817695,,,,0.42023975,,0.4848401,,,,,,,,,,
,0.412704,0.41212493,0.41813534,0.41775012,0.4775945,0.48201558,,,,,0.6449479,,,0.75447124,,
0.4192024,0.41223663,0.4141472,0.42136392,0.42065844,0.48005164,0.4840837,,,,,,,,,,
0.42030507,,0.41273487,0.42018744,0.4182546,0.48670107,0.48526773,,,,,,0.6578021,,,,
0.41798896,0.41067696,0.4090347,0.4185605,0.4169849,0.48524925,0.4841009,,,,,,,,,,
,0.40805447,0.40711042,,0.41486007,0.48799023,0.49010321,,,,,0.66383266,,,,,
,0.41130102,0.41293323,,0.41807768,0.4910311,0.4920637,,,,,,,,,,
,0.40988526,0.4115294,,0.41780597,0.48794112,0.48903248,,,,,,,,,,
0.4190253,0.41074067,0.4129688,,0.41906905,0.48792797,0.48901248,,0.57238173,,,0.6730298,,,,,
0.42509645,,0.41382778,0.42323965,0.42058834,0.49265477,0.49254537,,0.5794354,,,,,,,,
0.42254078,0.41442263,0.41303647,0.42230248,0.4215458,0.4911451,0.4949877,0.5734171,0.58289737,,,0.68438095,,,,,
0.42491576,,,0.4286399,0.42324448,0.5014717,0.49632978,,,,,,,,,,
0.4194022,0.41073737,0.40912974,0.42331335,0.41798946,0.50120234,0.4946671,,0.5846222,,,0.6884458,,,,,
0.4004428,0.39061916,0.38836575,0.402493,0.3998613,0.48163033,0.4797719,0.5664656,0.572785,,,0.6809067,0.6818327,,,,
,0.38036734,0.37763768,0.39123103,0.39060792,0.4686107,0.47020802,0.5594224,0.56660247,,,0.6739098,0.6796095,,,,
0.37737918,0.3654605,0.3642132,0.37811375,0.37837288,0.460119,0.4603775,,0.5664317,,,0.6754117,0.68147516,,,,
0.3641175,,0.35308117,0.3685338,0.36691368,0.4360716,0.435238,,,,,,0.6651614,,,,
0.35655624,0.34597346,0.34452313,0.35460806,0.35313508,0.43589553,0.4331542,0.5479019,0.55355394,,0.6706946,0.67012185,0.67776704,,,,
0.3593578,0.34728155,0.34570855,0.35642433,0.35414845,0.43858814,0.43524095,0.54693246,0.55628645,0.67499506,,0.6752814,0.6807624,,,,
0.35457957,0.34260055,0.34068534,0.3508829,0.35000002,0.4346187,0.4308729,0.5517806,0.5570295,,,0.6825422,0.6883007,,,,
0.35304114,0.3397277,0.33989584,0.34966585,0.34806657,0.4346579,0.42956877,0.5491032,0.5522924,0.67559165,,0.6849829,0.6895494,,,,
0.35002348,0.33513606,0.33563456,0.34351534,0.34134543,0.42670083,0.42061338,0.5470499,0.5528756,,,0.6855682,0.6939126,,,,
0.3449205,0.33358204,0.3330641,0.34261832,0.34197795,0.4356594,0.4199174,,0.5519115,,0.6732084,0.69087356,0.6998293,,,,
0.3485284,,0.33350897,0.3444996,0.3419081,0.43789726,0.4213744,0.5592407,0.55956495,,0.6867363,0.6957597,0.7051095,,,,
0.34410924,0.3294538,0.3325475,0.34205854,0.34161362,0.43726957,0.41941616,,0.5532179,,0.68095946,0.6957675,0.7035913,,,,
0.35119078,,0.33561325,0.34351692,0.34455252,0.43769658,0.41897482,0.5644279,0.5615035,,0.68977654,0.7034542,0.7074934,,,,
0.34436297,0.3281759,0.32995334,0.3376305,0.33684754,0.42804644,0.41462356,0.5542517,0.55202174,,0.67761385,0.69520444,0.70364666,,,,
0.3477423,0.33212218,0.33245945,0.33908367,0.33640108,0.4304336,0.4160125,0.54972327,0.5538186,0.67379254,0.6832082,0.7009601,0.70273197,,,,
0.34902024,0.3319942,0.33145952,0.3413605,0.33553398,0.43852055,0.41857085,0.5637244,0.55988085,0.69887125,0.6851659,0.71990293,0.72171515,,,,
0.34673995,0.32949996,0.32995164,0.3403965,0.33544347,0.43922073,0.41944408,0.56553966,0.56475586,0.69186705,0.6869266,0.72276855,0.7226271,,,,
0.3465221,0.33120215,0.32952505,0.34257758,0.33801252,0.4403549,0.4218882,0.5747602,0.5644187,,0.68900174,0.7197258,0.7198553,,,,
0.34081304,0.3254841,0.32555553,0.33666903,0.33173853,0.431295,0.4143781,0.56036234,0.5516339,,0.6835229,0.70163274,0.7023436,,,,
0.3383003,0.3206962,0.32033142,,0.3315087,0.4381398,0.42478502,0.58125913,0.56545043,,0.6957337,0.72206867,0.7184794,,,,
0.33661902,0.31910172,0.3202505,0.33252048,0.33174783,0.436586,0.4256397,0.58411026,0.56998837,,0.6947441,0.7265184,0.72247076,,,,
0.3376171,0.31720835,0.32132995,0.33155388,0.3330318,0.44016832,0.43491238,0.5939971,0.58910424,,,0.7292673,0.7294332,,,,
0.33685216,0.31555283,0.3176374,,0.3327104,0.4419285,0.44157737,0.60648096,0.6025107,,0.7161318,0.74635124,0.7496364,,,,
