nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,0.2693629,0.2649333,0.38489458,0.38520414,0.4940945,0.5019733,0.49652076,0.49988878,0.67641497,0.6736628,,
,,,,,0.27750406,0.26866776,0.385193,0.38725984,0.49631602,0.50649726,0.5030241,0.50960094,0.6772969,0.6776011,,
,,,,,0.27756038,0.2639395,0.38547572,0.38644406,0.49571094,0.5038096,0.500205,0.5075738,0.6769635,0.6794648,,
,,,,,0.27936003,0.26981342,0.38698894,0.38832745,0.4977836,0.5051551,0.50212467,0.5091475,0.67738783,0.6809114,,
,,,,,0.27821782,0.2690401,0.38713706,0.38879383,0.4969396,0.50520325,0.5007546,0.5076536,0.6787275,0.6782052,,
,,,,,0.27958345,0.26823214,0.3887771,0.38864487,0.5006244,0.50564975,0.50085324,0.50685954,0.67643964,0.67996854,,
,,,,,0.2794227,0.2677054,0.38708675,0.38726574,0.49615556,0.5071674,0.5006362,0.50680447,0.674905,0.67769974,,
,,,,,0.27860934,0.2695611,0.38941175,0.38926095,0.49833417,0.5081813,0.50283664,0.50841784,0.672568,0.6757709,,
,,,,,0.2803997,0.26954448,0.38857377,0.3900522,0.49779236,0.5081917,0.5026525,0.50923336,0.67343664,0.67457855,,
,,,,,0.28003022,0.26926348,0.38845253,0.38897192,0.49603245,0.50532424,0.50271773,0.50919306,0.6741934,0.6782423,,
,,,,,0.2806582,0.27094084,0.39343542,0.39118883,0.50036883,0.50610983,0.50487024,0.5098454,0.67438525,0.6742527,,
,,,,,0.28064704,0.27029806,0.3880279,0.38914168,0.4977352,0.5054208,0.50489634,0.5106969,0.67680323,0.67464846,,
,,,,,0.28112632,0.26955974,0.39007562,0.3886624,0.4973824,0.50447035,0.5047244,0.5102655,0.6747205,0.6771766,,
,,,,,0.283374,0.2705316,0.39259857,0.38885397,0.5003184,0.50246996,0.5049628,0.51042616,0.67448485,0.67604685,,
,,,,,0.27933514,0.26787955,0.3919607,0.3883514,0.5020359,0.5046128,0.50259554,0.50785017,0.6769161,0.6780619,,
,,,,,0.281349,0.26872227,0.39126548,0.38842115,0.4999724,0.5055447,0.5029528,0.50858897,0.67346144,0.6763679,,
