nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
0.38436994,0.37507832,0.37513015,0.38560528,0.38808665,0.46560055,0.46450305,0.5697196,0.57073975,,,0.6772678,0.67839193,,,,
0.3808436,0.37149167,0.3754269,0.38425446,0.38983008,0.4639036,0.4636626,0.5705662,0.5712232,0.6838443,0.6862217,0.67978275,0.68384165,,,,
0.38030517,0.36982548,0.37473541,0.3838966,0.38973808,0.46464485,0.46459693,0.5740908,0.57295203,0.6861336,0.6847746,0.6793174,0.6848377,,,,
,0.37232828,0.37539023,0.38499922,0.3912071,0.46525967,0.46404302,0.56943977,0.5710762,0.68442595,0.68325084,0.67716014,0.68018436,,,,
0.38136548,0.37300724,0.3727876,0.38466734,0.39147127,0.46541652,0.46391663,0.5691613,0.57157755,0.6820048,0.67813724,0.6792935,0.6832168,,,,
0.3811328,0.37191638,0.37546653,0.385256,0.3909387,0.4666025,0.46516186,0.57172614,0.57225704,,0.68500423,0.68585026,0.6894571,,,,
,0.3720451,0.37518644,0.385235,0.39074302,0.46620414,0.46420473,0.56979334,0.5705925,0.68260235,0.68185896,0.67823166,0.68153566,,,,
,0.37312025,0.3758503,0.3850159,0.3915872,0.46620923,0.465253,0.5718752,0.57402176,0.6842107,0.68571085,0.67910385,0.68260825,,,,
,0.37281233,0.37546322,0.38509804,0.39040685,0.4666638,0.465885,0.5743738,0.572968,,,0.6735236,0.6771134,,,,
0.38122448,0.37223393,,0.3848004,0.3910784,0.46675178,0.4650657,0.5732045,0.5724865,,0.6853788,0.67812395,0.68002456,,,,
0.38123608,0.37204954,,0.38528067,0.39090836,0.4673323,0.46595943,0.5729234,0.5691971,,,0.6744985,0.6780781,,,,
0.38060385,0.37175745,,0.38438445,0.3903161,0.46504483,0.46464252,0.5703613,0.5709717,0.6837065,,0.67046976,0.6764633,,,,
0.38199282,0.37303454,,0.3855328,0.39100808,0.46662554,0.46524486,0.5740417,0.57132053,0.68589914,,0.6686978,0.6753022,,,,
0.38114423,0.3728392,,0.38632604,0.3907029,0.46728593,0.46560907,0.5713999,0.57163715,0.6820342,,0.66744107,0.6719005,,,,
0.38115358,0.37238896,,0.38494658,0.39095378,0.46696377,0.46537888,0.57242054,0.5697106,0.6831619,0.6855942,0.6705577,0.6769974,,,,
0.38111696,0.3721605,,0.38536677,0.39024007,0.46734256,0.46558225,0.5715037,0.5723722,,,0.6736429,0.67705023,,,,
0.38110334,0.37278843,,0.38593107,0.39098984,0.4676749,0.4657274,0.57126606,0.5682945,0.6846465,,0.67585796,0.67863417,,,,
0.38166338,0.3730348,0.3730435,0.3870923,0.39129645,0.47026286,0.4672347,0.57233423,0.5720904,0.68501663,0.68683136,0.6784668,0.68170595,,,,
0.38118657,0.37214825,,0.38586396,0.39024323,0.4674812,0.46558028,0.5711413,0.5713797,0.6841482,,0.6759491,0.6799516,,,,
,0.37359232,0.37302038,0.3856356,0.3909026,0.46827757,0.46513754,0.57091963,0.56871593,0.68345636,0.6848,0.6791977,0.6825228,,,,
0.38197672,0.37307465,0.3732177,0.38463914,0.3897123,0.46567532,0.4637397,0.5686593,0.5707244,0.68114793,,0.67786014,0.6808223,,,,
,0.37379265,0.37319744,0.38619992,0.3912778,0.4682868,0.46559474,0.57200253,0.5730412,0.68775725,0.6876215,0.6876151,0.69108224,,,,
0.38329348,0.37448037,0.37377214,0.38682014,0.39129555,0.46952745,0.46708393,0.5721885,0.5745734,0.68592334,0.6871127,0.683021,0.6857402,,,,
0.38177073,0.36977062,0.373053,0.3819092,0.3902893,0.46349487,0.46397245,0.5705979,0.57535064,0.6848458,0.6887238,0.67969406,0.6823155,,,,
0.38243347,0.37106925,0.3739345,0.38637957,0.39142224,0.4681599,0.46514004,0.5700972,0.569733,,0.6802536,0.68106955,0.68330336,,,,
0.38391358,0.3726213,0.3751623,0.38504502,0.39130163,0.46414995,0.46509618,0.5664831,0.5732852,0.6881051,,0.67938817,0.6823286,,,,
0.38448834,0.37445664,,0.3868068,0.39127266,0.46793303,0.46538723,0.5736875,0.57298136,,,0.6900419,0.69097316,,,,
0.38347518,0.37338644,,0.38607264,0.38973087,0.4696289,0.46603686,0.5743812,0.57447404,0.6887355,0.6835011,0.68865794,0.69074124,,,,
0.38200042,0.37244362,0.3746593,0.3840254,0.38731104,0.4683752,0.4661498,0.5749691,0.5767072,0.69414055,0.68540764,0.69441956,0.6958272,,,,
,0.3686903,0.3719561,0.37896752,0.3847947,0.46463305,0.46382377,0.57159865,0.56906945,,0.6799109,0.69274825,0.6964079,,,,
0.37900335,0.36932373,0.3724588,0.3801951,0.3860873,0.46382412,0.46469098,0.57125205,0.57442075,0.7000632,0.6864137,0.70541406,0.70878756,,,,
0.37884218,0.36554468,0.37175176,0.3778507,0.3860936,0.4608197,0.4649472,0.57644975,0.57746,0.7071457,0.68855166,0.70773,0.70948875,,,,
0.38011953,0.36797327,0.37202105,0.378632,0.38421136,0.4633702,0.4654729,0.5820713,0.58153915,0.7119357,0.69212854,0.7090038,0.7102477,,,,
0.38045692,0.36619326,0.37190998,0.37642485,0.38303983,0.46287954,0.46484637,0.5794822,0.5794888,0.70262074,0.6883304,0.70718396,0.70931625,,,,
0.3792622,0.36501572,0.37085062,0.37585407,0.3816718,0.46274072,0.46463048,0.58682054,0.58266294,0.70600724,0.6905323,0.70818657,0.71307576,,,,
0.37825665,0.36562234,0.36930156,0.37306365,0.37886888,0.4605481,0.46333164,0.5845568,0.5848348,0.70994127,0.6907429,0.7088544,0.71104497,,,,
