nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,0.33346626,0.33537483,0.45691332,,,,0.5609772,0.5603954,0.73315704,0.72953814,,
,0.24145448,,,,0.3362876,0.33884567,,,,,0.5574174,0.5564945,,0.712939,,
,,,0.25413367,0.25766307,0.33510193,0.3377131,,,,,0.55840087,0.5581216,0.7164209,0.71406114,,
,,,0.25433087,,0.33475277,0.335826,,,,,0.56001663,,,0.71646607,,
,0.23870932,,,,0.3343371,0.33675644,,,,,0.56170785,,0.71634525,0.716037,,
,,,0.2528251,,0.33622798,0.33844543,,,,,0.5613487,0.5614716,,0.71674716,,
,0.24089363,,0.25392833,,0.33847165,0.34201753,,,,,0.5579414,0.5581852,,0.71424407,,
,0.23999521,,0.2528119,,0.3372589,0.34167883,,,,,0.55942166,,0.7124958,0.7133295,,
,0.23895413,,0.25047752,,0.33644056,,,,,,0.56279594,0.5603394,,0.7178154,,
,0.24139729,,0.2524475,0.25630003,0.33594388,0.3408223,,,,,0.5629812,,,0.71884227,,
,,,0.25701615,0.26042512,0.3374395,0.34480047,,,,,0.5624103,,,0.71586794,,
,,,0.25677502,0.25999087,0.33752948,0.34329852,,,,,0.5622361,,,0.7128358,,
,0.24149251,,0.25394097,0.25739777,0.33679205,,,,,,0.55998945,0.55846965,,0.71540475,,
,0.24147594,0.24652544,0.25319952,0.2570821,0.3376319,0.3423547,,,,,0.55901897,,,0.71729386,,
,0.24128023,,0.25313398,0.2565158,0.33659387,0.33902785,,,,,0.55872583,0.5590796,,0.7167808,,
,0.24238609,0.24672621,0.25191343,0.25523037,0.33662325,0.33868167,,,,,0.56178004,0.56168664,0.7139603,0.7135842,,
,0.24316916,0.24584582,0.25161535,0.253596,0.33782214,,,,,,0.5553343,0.5554639,,0.7111582,,
,0.24561188,0.249277,0.25331917,0.25674188,0.33864293,,,,,,0.5573587,0.5578264,,0.7103344,,
,0.24669491,0.24948274,0.25426325,0.25611314,0.33744344,,,,,,0.5559582,0.5571884,,0.7121148,,
,0.24521747,,0.25300962,0.25451952,0.33764932,,,,,,0.5585568,0.5566175,,0.71176475,,
,,,0.25276378,0.2550735,0.33694637,,,,,,0.55881155,,,0.71416754,,
,0.24327621,0.24491666,,0.25384998,0.33625373,,,,,,0.5590768,0.55981374,,0.7151594,,
,0.2462031,,,0.2548941,0.3346288,,,,,,0.5600005,,0.7143049,0.7145402,,
,,,,0.25694296,0.33532164,,,,,,0.55675256,0.5584444,0.7134758,0.7141918,,
,,,,0.2542417,0.3369754,,,,,0.5492263,0.55934256,,0.7196929,0.7190727,,
,,,,0.25460568,0.33727893,,,,,,0.5573396,0.55919623,0.719807,0.72077894,,
,,,,0.25333738,0.33585045,,,,,,0.5557615,0.5567265,0.71784806,0.71761703,,
,,,,0.25254744,0.3352805,,,,,,0.5569049,0.55836725,0.7244897,0.7251425,,
,,,,0.2514767,0.3342589,,,,,0.55422974,0.55894715,,0.7239549,0.7230375,,
,,,,0.25526685,0.3357409,,,,,,0.55846083,,0.7243651,0.72441125,,
0.25753096,,,,0.25275058,0.33416852,,,,,0.54693836,0.55787504,,0.7240093,0.7231845,,
,,,,0.25619754,0.33505774,,,,,,0.5547326,0.5569476,0.72199166,0.7212851,,
,,,,0.25789434,0.33497608,,,,,,0.5558529,0.5574421,0.7206379,0.7190374,,
,,,,0.25125378,0.33278513,,,,,0.55217195,0.5562919,0.5579816,0.7196162,0.71918035,,
,,0.24520366,,0.25244394,0.33505973,,,,,,0.5569986,0.5588774,0.7211287,0.7207649,,
,,,,0.2539828,0.3358627,,,,,,0.55533576,0.55721074,0.7174548,0.7157194,,
,,,,0.2535466,0.33289564,,,,,0.55115366,0.55682534,0.5587529,0.72270226,0.7201762,,
,,,,0.25258368,0.33466494,,,,,0.55178416,0.55680335,0.559206,0.7206589,0.7209015,,
,,0.24204288,,0.25113785,0.33396348,,,,,,0.557842,0.56035286,0.72001445,0.7211901,,
,,,,0.25281173,0.33581102,,,,,0.55127525,0.55651414,0.5583578,0.71780396,0.7188868,,
,,,,0.25214785,0.33515996,,,,,0.54871047,0.5578929,,0.7183659,0.7193047,,
,,,,0.25337735,0.3355125,,,,,,,,0.72131026,0.72146595,,
,,,,0.25381482,0.33705658,,,,,,0.5574198,0.5586929,0.71700215,0.7176816,,
,,,,0.2510488,0.33557415,,,,,,,,0.7230384,0.72337383,,
,,0.24290505,,0.25319135,0.33628294,,,,,,,,0.7273108,0.72559345,,
,,0.24070458,,0.25081557,0.334167,,,,0.54876566,,0.5588808,,0.72320837,0.7240862,,
,,,,,0.33420402,,,,,,0.55815125,,0.7252969,0.72588193,,
,,,,,0.33219993,,,,,,0.5553925,0.5578034,0.7211627,0.7224293,,
,,,,,0.3324227,,,,,,,,0.7281555,0.7271082,,
,,,,,0.33257353,,,,,,,,0.7270199,0.72669816,,
,,0.2398191,,,0.33584446,,,,,,,,0.72895145,0.7276048,,
,0.24102567,0.24347924,,0.2520048,0.34399772,0.34015363,,0.46715638,,0.57730407,0.5819042,,0.7518954,0.7576864,,
,,0.26339048,,0.2739959,0.36720675,,,,,,0.59634167,0.59803396,0.75648534,0.75255346,,
,,0.28075945,,0.29456243,0.38411057,,,,,,0.6159158,0.6177293,,0.7671394,,
,,,,,0.38875484,0.38112748,,0.5008644,,,0.61517173,0.6162935,,0.7611115,,
,,,,,0.37721068,,,,,,0.60178035,0.6044524,0.7610058,0.7561557,,
,,,,,0.31393075,,,,,,0.5368631,,0.7115276,,,
,,,,,0.25457278,,,,,,0.49883425,0.5021409,0.6709022,,,
