nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
0.38499302,0.37337074,0.3734605,0.3833521,0.3825061,0.46073025,0.46278888,,0.5690377,0.6557175,0.690719,0.6504643,0.6498615,,0.7576126,,
0.3857033,0.37144694,0.3725694,0.38061664,0.38178778,0.46132582,0.4600645,0.5677616,0.57279193,,,0.6623873,0.6630244,,,,
0.38241702,0.36856303,,0.37854004,0.38056263,0.4593203,0.45963633,0.57105,0.5743177,0.66713834,,0.6605327,0.6627803,,,,
0.38127398,0.3674068,0.36968505,0.37718043,0.37858367,0.45858225,0.4554296,0.5597143,0.5682454,0.66053367,,0.6551812,0.65664345,,,,
0.38204712,0.36789167,0.3702309,0.37737033,0.37831897,0.45447823,0.45111272,,0.5641496,,,0.651906,0.65370655,,,,
0.3816629,0.3692488,0.37146196,0.37913188,0.3795881,0.45267797,0.4504505,,0.5455606,,,0.64874756,0.65084535,,,,
0.38102788,0.3682338,0.37055922,0.37767515,0.37909076,0.45254642,0.4496557,,0.5478261,,,0.64919233,0.6448323,,,,
0.3805039,0.36842805,0.36994046,0.37873718,0.37861428,0.45403907,0.4511498,,0.5499121,,,0.6492449,0.6506501,,,,
0.3784235,0.36776552,0.3685615,0.377966,0.3782291,0.44923624,0.44647276,,,,,0.6488769,0.6507247,,,,
0.37925896,0.36917412,0.37229842,0.37840852,0.37849605,0.4489234,0.44777954,,,,,0.63797337,0.6384284,,,,
0.3811221,0.368792,0.37066087,0.3785625,0.37898836,0.45430666,0.45212406,,,,,0.64195347,,,,,
0.38123447,0.36945853,0.372294,0.3787882,0.37909967,0.45217705,0.45104963,,0.5531243,,,0.64033115,0.6414966,,,,
0.3807726,0.3692932,0.3730589,,0.37772554,0.44696492,0.44444275,,,,,0.6390282,0.6401261,,,,
0.38076782,0.36922246,,0.37856862,0.3778406,0.44887525,0.44615543,,0.54446316,,,0.633915,0.63437885,,,,
0.38119096,0.37017247,0.3702998,0.37762523,0.37777564,0.44436228,0.44286034,,,,,0.62480277,0.6256603,,,,
0.38279283,0.371715,0.37141138,0.38008273,0.37947124,0.44721073,0.44724295,,0.538883,,,0.6349878,0.6350955,,,,
0.38197845,0.37023252,0.3720131,0.37928545,0.37896723,0.44877392,0.4491052,,0.5458705,,,0.63803476,0.63939935,,,,
0.38200897,0.3695115,0.37103066,0.37703425,0.3767185,0.45083052,0.44776005,0.5522224,0.5603177,0.64573765,,0.64015543,0.64328235,,,,
0.38495153,0.3735596,0.3742661,0.38092512,0.38263106,0.450546,0.44870564,0.54029846,0.53841054,0.637431,,0.62992203,0.6254761,,,,
0.38052517,0.37218973,0.37180054,0.3786137,0.38040718,0.45846933,0.4556005,0.55273396,0.55846184,,,,0.65321684,,,,
0.38005728,0.3684249,0.3691402,0.3780458,0.38098583,0.45708892,0.45971572,0.55205643,0.5617652,0.6408861,,0.6500367,0.65719664,,,,
0.3793546,0.3687908,0.37085873,0.37869126,0.37878355,0.45610294,,,,,,0.6422759,0.6467364,,,,
,0.37050042,0.36946428,0.37851307,0.38003093,0.45513034,0.45093477,,,,,,,,,,
0.38024876,0.36736786,0.36947343,0.37930843,0.3807052,0.46055374,0.463692,,0.56774974,,,0.65382916,0.65995157,,,,
0.38253993,0.36897573,0.37201065,0.379224,0.3811011,0.45845068,0.46053177,,0.5670184,,,0.6531645,0.6572223,,,,
0.37972277,0.36885202,0.37141177,0.3800101,0.38107598,0.45940197,0.45908755,,0.56582093,,,0.6450044,0.6450086,,,,
0.38167936,0.37080094,0.37350404,0.38203904,0.38229698,,0.45839617,,0.5589191,,,0.6535696,0.65610737,,,,
0.38294196,0.37186652,0.3739124,0.38310295,0.38277078,0.46079525,0.4620161,,0.56832945,,,0.6542533,0.6562895,,,,
0.38647327,0.3745136,0.37519953,0.3853789,0.38618696,0.46141154,0.4623297,,0.5689928,,,0.6518935,0.65517354,,,,
