nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.37273324,0.3445584,0.34926012,0.36040062,0.36237314,0.52503556,0.5171189,0.757755,0.734566,0.9519961,0.90182495,0.96535045,0.96617806,,,,,0.053046227
0.36598492,0.33901936,0.34078154,0.35594982,0.36030748,0.5237668,0.5196368,0.76302105,0.73359066,0.9572842,0.90167916,0.97558045,0.98126817,,,,,0.060270071
0.36653852,0.33810484,0.34052148,0.3552004,0.3593252,0.5194431,0.5155875,0.765319,0.7371311,0.96130264,0.9052489,0.97567654,0.9775062,,,,,0.039475918
0.3679031,0.3405233,0.34332764,0.3583321,0.36185232,0.52651286,0.52075744,0.7618138,0.73709995,0.9474328,0.9031973,0.9733927,0.97619575,,,,,0.027167082
0.36378753,0.33722025,0.3381932,0.35465738,0.35936818,0.52077156,0.5167036,0.7635835,0.7370818,0.95860076,0.90500283,0.9748005,0.97860146,,,,,0.058978796
0.36769262,0.33993632,0.34234652,0.35658264,0.3607752,0.523978,0.5201719,0.7656302,0.73531234,0.9567695,0.9043815,0.97176975,0.9737433,,,,,0.052339792
0.3688897,0.34092876,0.34256935,0.35767078,0.35868666,0.5262965,0.5202128,0.7611617,0.73165196,0.9577093,0.9021515,0.97435105,0.97805935,,,,,0.037778139
0.36967978,0.34096158,0.34216097,0.35842234,0.3568094,0.5199054,0.5159953,0.7590703,0.73927987,0.95298165,0.9054642,0.9739096,0.9798359,,,,,0.054692984
0.36854947,0.34242928,0.34203508,0.36026752,0.35931385,0.52853066,0.5208503,0.7610696,0.73685455,0.9562296,0.903594,0.97119373,0.97495896,,,,,0.046670914
0.36756283,0.3388663,0.34119022,0.3597659,0.36125395,0.5285583,0.53001076,0.7653638,0.73606944,0.95939803,0.9063237,0.9732648,0.9769726,,,,,0.062680721
0.36592558,0.33923653,0.34079245,0.35949633,0.36122718,0.52628285,0.52813846,0.7588449,0.73481995,0.9522025,0.90636474,0.9639206,0.9673737,,,,,0.040135145
0.369411,0.34345877,0.3444895,0.36256653,0.36089766,0.52818227,0.53031754,0.76206654,0.7310912,0.95591056,0.9046185,0.9658985,0.96820873,,,,,0.057740211
0.37166464,0.34601673,0.34645668,0.36337915,0.3610207,0.5276553,0.5227409,0.7616594,0.7337283,0.95712525,0.90471387,0.9688579,0.9735737,,,,,0.04197979
0.3695007,0.3438025,0.34426212,0.36244005,0.361436,0.52427226,0.5213547,0.7506856,0.73403287,0.947134,0.9005905,0.9651191,0.970676,,,,,0.043549776
0.3710768,0.34569782,0.34541607,0.36414433,0.3605671,0.524886,0.51940674,0.75834846,0.7318671,0.9527786,0.8997061,0.9668506,0.9708726,,,,,0.022100925
0.369467,0.34515604,0.34440008,0.36275756,0.36056498,0.5253562,0.5222634,0.75371116,0.7357517,0.9466603,0.89995,0.9679887,0.97403115,,,,,0.046187878
0.37157324,0.34664148,0.34666348,0.36284807,0.36106756,0.52676433,0.5222168,0.75893486,0.7324219,0.9513931,0.89997756,0.9778451,0.9820099,,,,,0.042742014
0.37048224,0.34598458,0.3452953,0.36207253,0.36033788,0.52673596,0.5299083,0.7614918,0.7407762,0.9566442,0.90238976,0.9769471,0.97973865,,,,,0.032908916
0.37239107,0.3480593,0.3463421,0.36418253,0.35951212,0.5273371,0.5213811,0.7562682,0.73488766,0.9523133,0.89771175,0.97235066,0.9782464,,,,,0.046702147
0.36833715,0.34441075,0.34454,0.36161962,0.35657692,0.5255,0.5201619,0.7614971,0.73911256,0.963178,0.9004384,0.97111744,0.97892964,,,,,0.038502216
0.36805597,0.34422064,0.34391573,0.36055374,0.35462353,0.52624756,0.5148686,0.7576851,0.7322002,0.9582278,0.8960943,0.9703665,0.9757095,,,,,0.024708748
0.36843592,0.34445646,0.34403223,0.36002854,0.3553204,0.5230898,0.51435727,0.74798816,0.7320529,0.94605327,0.8990222,0.97097355,0.97922635,,,,,0.053795099
0.36689198,0.34285355,0.34312597,0.35886845,0.35328606,0.52339107,0.51491547,0.74997985,0.73993564,0.95017964,0.9081828,0.9708737,0.9789058,,,,,0.040229797
0.3653823,0.34103763,0.3418718,0.35810387,0.35412726,0.52614754,0.520408,0.7560237,0.7351242,0.94967544,0.9051835,0.97174996,0.9772219,,,,,0.025134087
0.36649573,0.3408896,0.33800226,0.3560356,0.3515003,0.52329457,0.5146337,0.7479241,0.73164093,0.94702935,0.898101,0.9756172,0.97975266,,,,,0.041017771
0.36331928,0.33727264,0.3340515,0.35298955,0.3481305,0.52432895,0.5100181,0.7473379,0.7342138,0.94533855,0.90265614,0.9771523,0.97980773,,,,,0.05871582
0.36648306,0.34035036,0.33791986,0.358271,0.35214975,0.5321685,0.5166217,0.7585587,0.7373757,0.953472,0.90531415,0.97635925,0.9749023,,,,,0.052866936
0.3931872,0.36456633,0.36282423,0.3805967,0.37914038,0.5474017,0.5439055,0.7841365,0.7544373,,0.91921264,0.97992176,0.97564995,,,,,0.040570974
0.41074324,0.39140436,0.38804457,0.41164854,0.40549693,0.58920693,0.58353645,0.82289994,0.8057946,,0.95353234,0.9993958,0.9942393,,,,,0.055319071
0.46675852,0.44403034,0.4409976,0.4660851,0.46310458,0.66208863,0.6487123,0.89202523,0.87906975,,,1.0495877,1.0482342,,,,,0.047183752
0.5431468,0.5143813,0.5118331,0.5364773,0.5340891,0.7302954,0.7226092,0.9507514,0.9481055,,,,,,,,,0.04571104
0.58863616,0.55920196,0.55714035,0.585119,0.5809201,0.7760097,0.76653737,0.9701684,,,,,,,,,,0.057326078
0.6228959,0.5930755,0.5896082,0.62129223,0.61907375,0.8388196,0.83270305,,,,,,,,,,,0.044809103
0.6500594,0.6168444,0.61475784,0.6453281,0.63939434,0.85579896,0.84448665,,,,,,,,,,,0.047164202
0.6599195,0.62624824,0.6232034,0.6547695,0.6465289,0.8634299,0.84772897,,,,,,,,,,,0.029812098
0.67111903,0.63852817,0.63757825,0.6685028,0.653744,0.8814018,0.8601958,,,,,,,,,,,0.048130035
0.6869509,0.6515183,0.64832234,0.6844203,0.6744516,0.8842552,0.87279004,,,,,,,,,,,0.040611744
0.703378,0.6704676,0.66792023,0.7010584,0.68834686,0.90081596,0.88302106,,,,,,,,,,,0.052249908
0.71737236,0.6830636,0.68575454,0.7152582,0.7080296,0.9203307,0.9104636,,,,,,,,,,,0.057095289
0.7398066,0.70771724,0.70644504,0.7360575,0.7276926,0.9188087,0.90471584,,,,,,,,,,,0.037144899
0.7403134,0.70888686,0.7157627,0.7449928,0.74746585,0.9377414,0.92542034,,,,,,,,,,,0.049732208
0.7445543,0.7176635,0.7203615,0.74695134,0.75130886,0.93583214,0.9381703,,,,,,,,,,,0.028809071
0.75527924,0.72387165,0.7223725,0.75222206,0.75272614,0.935771,0.9264096,,,,,,,,,,,0.050296068
0.7496383,0.7211414,0.7218309,0.74634767,0.7480882,0.93572223,0.9246735,,,,,,,,,,,0.038100958
0.72890824,0.6969031,0.693955,0.7273143,0.7231816,0.921427,0.9030033,,,,,,,,,,,0.063555241
0.6981881,0.6658366,0.6618398,0.6922547,0.68492234,0.88723207,0.87094414,,,,,,,,,,,0.047327042
0.6514262,0.61696815,0.6151187,0.64807594,0.64505726,0.850203,0.8488467,,,,,,,,,,,0.048043966
0.5931816,0.56570846,0.56465256,0.60266834,0.59548336,0.8067571,0.78414834,,,,,,,,,,,0.045381784
0.5540796,0.5217785,0.5225435,0.55044585,0.55115485,0.7460604,0.72888905,0.96313256,0.979704,,,,,,,,,0.042589903
0.5305446,0.50278854,0.5020888,0.53233147,0.52999663,0.7289125,0.70359147,0.94177735,0.92911845,,,,,,,,,0.029880047
0.48448113,0.46118906,0.45915,0.49375692,0.48678672,0.6785751,0.65807945,0.9110644,0.8819703,,,1.0463805,1.040648,,,,,0.046872854
0.4424999,0.4204129,0.41867802,0.45938888,0.45426825,0.65414536,0.6348741,0.88244843,0.85410035,,,1.0272424,1.0176501,,,,,0.036606073
0.41762727,0.39636946,0.39275032,0.42889753,0.4250821,0.61950696,0.5972373,0.84924847,0.81026715,,0.9495941,1.0053836,1.0005629,,,,,0.047497034
0.41422457,0.3919061,0.39055818,0.4210902,0.4151781,0.602316,0.5835586,0.83846813,0.8010134,,0.9525459,0.997562,0.98634315,,,,,0.025965929
0.40043205,0.37872186,0.37555563,0.3994375,0.394637,0.5791348,0.55420864,0.802772,0.7685394,0.98073745,0.90790915,0.975317,0.9746652,,,,,0.047648668
0.38046634,0.35789782,0.35373053,0.38055378,0.37141308,0.55463326,0.54115444,0.78208226,0.7523704,0.9695952,0.8956051,0.9677923,0.96126336,,,,,0.055631161
0.37393537,0.35002506,0.3482096,0.3729301,0.36145633,0.546293,0.53219295,0.765981,0.7374923,0.955734,0.8834292,0.9739005,0.9693737,,,,,0.039342165
0.36931503,0.3462721,0.34229782,0.36795193,0.35726684,0.54152405,0.5204153,0.75614303,0.736336,0.95675236,0.8874211,0.96799767,0.96695733,,,,,0.047198057
0.3659659,0.34172928,0.33666837,0.36385065,0.3489841,0.5347824,0.51191497,0.7566215,0.7302058,0.9544296,0.89285636,0.9695459,0.9657033,,,,,0.058626175
0.3714336,0.3476483,0.34533384,0.3648412,0.3548037,0.537993,0.5132723,0.7534095,0.72732204,0.94814247,0.87543106,0.9746219,0.97581005,,,,,0.054486036
0.36552155,0.34009525,0.336968,0.36253887,0.3520342,0.5329444,0.5156125,0.7487571,0.72860026,0.9438222,0.87910676,0.9740102,0.9682049,,,,,0.040048838
0.36685616,0.3426293,0.34081924,0.36327532,0.3529732,0.5223801,0.513922,0.749303,0.7305033,0.9484061,0.88696355,0.9779313,0.9751267,,,,,0.050440073
0.36475304,0.34093094,0.33914837,0.3627064,0.35060078,0.52408516,0.50925434,0.7464459,0.7310221,0.94849753,0.89131194,0.9747804,0.9703207,,,,,0.028488159
0.3616047,0.33760235,0.33671486,0.35912168,0.3507194,0.5208303,0.51125515,0.74558,0.7250463,0.94784915,0.873465,0.97710526,0.97015107,,,,,0.035163879
