nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.23017518,0.19807333,0.20180818,0.24003887,0.23109944,0.45732656,0.42957893,0.7530116,0.7218537,,0.9256916,0.98819095,0.97910583,,,,,0.063796043
0.23711628,0.19833893,0.20431508,0.23243544,0.22818714,0.43782675,0.41974056,0.7564261,0.7233181,,0.92264247,0.9915314,0.98696,,,,,0.053491354
0.23606141,0.19550663,0.20405616,0.22889635,0.22774754,0.43889385,0.4132136,0.7467933,0.7131108,,0.9246855,0.98430073,0.98227966,,,,,0.042523861
0.2353256,0.19915073,0.20489836,0.23370716,0.23277453,0.4505238,0.4278134,0.7475145,0.71585,,0.92855686,0.99357647,0.9906179,,,,,0.029747009
0.2328152,0.19980972,0.20313412,0.2367142,0.23405626,0.4659936,0.43219906,0.7542959,0.72830224,,0.93049365,0.99960446,0.9964691,,,,,0.038575172
0.23848861,0.204152,0.20611021,0.24141625,0.24156141,0.46312225,0.44043964,0.7610409,0.72803074,,0.94609684,1.00274,1.0012921,,,,,0.037009954
0.23942322,0.20473215,0.20683956,0.23885939,0.23910496,0.46032122,0.4288205,0.7601776,0.7263365,,0.9445663,1.0014735,0.99727654,,,,,0.051277161
0.23870595,0.20441791,0.20601135,0.2403361,0.23786429,0.4567277,0.42701086,0.75669074,0.7233177,,0.939679,0.99624294,0.98827195,,,,,0.024127007
0.241689,0.20683283,0.20966397,0.23623626,0.23784463,0.45426825,0.42710087,0.75429887,0.72914124,,0.9375677,0.9958676,0.9908763,,,,,0.05115509
0.24130175,0.20539972,0.20819871,0.23641236,0.23615938,0.4462106,0.42398486,0.74505424,0.72321403,,0.934604,0.9961643,0.9893913,,,,,0.039883137
0.24330701,0.20785004,0.21109772,0.23717298,0.23874685,0.45280346,0.42405102,0.75174904,0.7095744,,0.9245592,0.9966439,0.9880812,,,,,0.062998772
0.24249595,0.20863697,0.20980845,0.24066946,0.23959605,0.4543196,0.4281133,0.7481999,0.70773953,,0.92600465,0.9973104,0.99259514,,,,,0.045004845
0.24335878,0.2077213,0.20913437,0.23848152,0.23553626,0.46314928,0.4281779,0.75402856,0.719208,,0.92966586,0.998132,0.99356914,,,,,0.035935163
0.24042934,0.2048939,0.20588827,0.23890464,0.23665598,0.46263832,0.42911136,0.75278693,0.7216409,,0.93520176,0.9953217,0.99440503,,,,,0.068462849
0.24298297,0.2085602,0.20675394,0.2415294,0.23401186,0.4586533,0.4266722,0.74625343,0.71039516,,0.9353769,0.998664,0.9939681,,,,,0.036139965
0.24268723,0.20789225,0.20598306,0.23900217,0.23150338,0.44835058,0.42251122,0.74007535,0.70660824,,0.92510635,0.9903487,0.9875323,,,,,0.05215621
0.24056785,0.20497571,0.20518106,0.23456505,0.22966109,0.4392198,0.416145,0.73795485,0.7049315,,0.9285667,0.9779212,0.97868943,,,,,0.051093817
0.23588859,0.20225917,0.20293352,0.23837958,0.2344247,0.4635015,0.4280332,0.7401397,0.700819,,0.9143413,0.9986177,0.99182975,,,,,0.040136099
0.22762638,0.19245836,0.19858402,0.23012564,0.22916767,0.4479956,0.41476262,0.7410753,0.695529,,0.92224956,0.9919304,0.98583245,,,,,0.023061991
0.2252548,0.19143629,0.19445737,0.2332013,0.22828579,0.44786727,0.4297621,0.7402683,0.71420205,,0.92549026,0.98291516,0.9733644,,,,,0.051380873
0.23041609,0.19719304,0.19457287,0.23357528,0.2207764,0.4472691,0.42122397,0.73831695,0.6986275,,0.9261093,0.99916196,0.9942448,,,,,0.040255308
0.222332,0.18826914,0.18760003,0.221049,0.21613963,0.44173113,0.42896378,0.72805816,0.71656257,0.9824119,0.9303623,1.0041248,1.0011582,,,,,0.054843187
0.21662086,0.18082687,0.18015596,0.21318658,0.20754868,0.44211525,0.42898697,0.73623776,0.7321859,,0.94317955,1.002187,0.99735427,,,,,0.039810658
0.21443145,0.1745081,0.17818832,0.20108345,0.19921933,0.43865135,0.42482102,0.7298453,0.73209625,0.9795979,0.9479031,1.0044224,1.0030751,,,,,0.058697224
0.20174149,0.16363621,0.16289717,0.19339418,0.18877575,0.42916065,0.41946065,0.72359943,0.7236545,0.98310405,0.9489536,0.99592495,0.98817086,,,,,0.04250288
0.18705219,0.14892165,0.14314133,0.1793782,0.1678614,0.43732792,0.42211014,0.73648846,0.7178308,,0.94256455,1.0113759,0.99896836,,,,,0.052570105
0.17175218,0.13154835,0.12780243,0.16525872,0.16062339,0.42709255,0.40464866,0.72807735,0.7112642,,0.9290668,1.0043452,0.99605054,,,,,0.05687499
0.1509517,0.10768276,0.10408036,0.14257155,0.13426393,0.39567322,0.39074886,0.7302295,0.73027503,,0.9776423,1.0012075,0.99486756,,,,,0.04685998
0.101350255,0.05110452,0.047380023,0.09410116,0.09049373,0.36379993,0.36158434,0.7188123,0.7406489,,,0.9872092,0.9852242,,,,,0.037400961
0.062704034,0.020669699,0.016707845,0.066312686,0.050964408,0.35482448,0.3447145,0.6969937,0.7306769,,,0.9775038,0.9726112,,,,,0.030566216
0.01724471,,,0.038214788,0.013908122,0.32422766,0.3158549,0.68134224,0.7320302,,,0.97242177,0.9718685,,,,,0.042180061
,,,,,0.30147362,0.27636093,0.6658746,0.72858226,,,0.9804009,0.9750169,,,,,0.045551062
,,,,,0.24852985,0.22892645,0.66303635,0.7062431,,,0.95700616,0.95213604,,,,,0.052251816
,,,,,0.24071948,0.2273673,0.6663257,0.71739674,,,0.95536244,0.9479544,,,,,0.044282913
,,,,,0.2070136,0.1571722,0.66146636,0.6427233,,,0.9495968,0.93911046,,,,,0.031444073
,,,,,0.197146,0.17706257,0.66769356,0.70110595,,,0.9697397,0.95267403,,,,,0.041241169
,,,,,0.18010919,0.13284248,0.64804757,0.63068455,,0.9442155,0.972273,0.95816547,,,,,0.046823978
,,,,,0.177742,0.14798276,0.64984363,0.6749687,,,0.962857,0.95787716,,,,,0.049751759
,,,,,0.17037651,0.13825744,0.6522472,0.6582628,,0.9564179,0.9569236,0.95320827,,,,,0.029254198
