nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,real_time
0.3800459,0.3532653,0.3568966,0.36925077,0.36907026,0.5352353,0.5294359,0.7572899,0.7405345,0.95392334,0.9353958,0.9721915,0.9757278,,,,,0.099436998
0.37049633,0.34280947,0.3478453,0.3658443,0.36894342,0.52571595,0.52199006,0.76535255,0.74304783,0.96206284,0.92695785,0.9679601,0.9661594,,,,,0.020466089
0.37163204,0.343862,0.34767014,0.36735064,0.367998,0.53332305,0.52181476,0.7671069,0.74160415,0.9593052,0.9272498,0.96837395,0.97160804,,,,,0.055048943
0.37161583,0.34473652,0.3475655,0.36726925,0.36708272,0.52817005,0.5244868,0.76722527,0.74518937,0.96614265,0.930365,0.96874905,0.96894115,,,,,0.044718027
0.37033516,0.34382808,0.34721205,0.36763695,0.36910766,0.53441894,0.52464646,0.77159053,0.74689645,0.96567225,0.9270086,0.965925,0.9657985,,,,,0.048146963
0.37201473,0.34459108,0.348914,0.36733118,0.3695916,0.52903366,0.5243352,0.77095,0.74854493,0.96848416,0.9305812,0.9711692,0.97150666,,,,,0.04890871
0.36994994,0.34300095,0.34783873,0.3663486,0.36888006,0.52857834,0.5226476,0.7683705,0.73855454,0.96270615,0.9165122,0.971961,0.970971,,,,,0.047834873
0.3702551,0.34329128,0.3472198,0.3677508,0.36920056,0.5334939,0.5253491,0.7690134,0.7383906,0.96759236,0.91586083,0.96838695,0.9699383,,,,,0.064336061
0.37028217,0.3443605,0.34737247,0.3685862,0.36944783,0.52973056,0.52523696,0.7613426,0.74083257,0.9573076,0.91786766,0.9660789,0.9696376,,,,,0.047196865
0.37167114,0.34557757,0.3486281,0.36897075,0.36972702,0.53374386,0.5256891,0.7616273,0.73694503,0.9579811,0.91415447,0.96142226,0.9650025,,,,,0.038229942
0.37359428,0.34815443,0.35011768,0.36987555,0.36987653,0.5327031,0.52517754,0.7576504,0.7357201,0.9533539,0.9111892,0.9601897,0.9618026,,,,,0.025072813
0.37228176,0.34601328,0.34996912,0.3686232,0.36997625,0.5336158,0.52559555,0.7581933,0.7381728,0.9529151,0.91333705,0.96049094,0.96234965,,,,,0.037849903
0.37247673,0.3458305,0.35073322,0.36811393,0.37077987,0.5335895,0.52640885,0.75940907,0.73896027,0.95399594,0.9164897,0.9629188,0.9641412,,,,,0.021435261
0.37194034,0.3452728,0.34964412,0.36839592,0.37080824,0.5342343,0.531723,0.7619536,0.7408706,0.96241975,0.92301303,0.9727124,0.9732053,,,,,0.054344177
0.37129974,0.34385416,0.34875885,0.36500093,0.36786187,0.52727807,0.52424455,0.76125973,0.7395276,0.9554099,0.91940635,0.96490085,0.96799636,,,,,0.038239002
0.37238243,0.3455278,0.34974903,0.36663538,0.36898804,0.5287707,0.5232353,0.7602732,0.7373297,0.9555094,0.91810864,0.9616572,0.9636762,,,,,0.024735928
0.3695753,0.34303296,0.34733847,0.36646038,0.36938995,0.53350914,0.5256421,0.7632299,0.7373303,0.95856965,0.91243607,0.96407807,0.96592164,,,,,0.044111252
0.37012067,0.34364924,0.3483492,0.3664839,0.36962053,0.5341297,0.527042,0.76402664,0.73955727,0.9646884,0.91603744,0.9698448,0.96938664,,,,,0.047765017
0.36868128,0.34273466,0.3469626,0.36651814,0.36893287,0.53301877,0.52629113,0.76403725,0.7371525,0.96257424,0.91765964,0.96898675,0.96991855,,,,,0.056077242
0.36641514,0.34067038,0.34518084,0.365455,0.36812395,0.52894527,0.5221158,0.7606945,0.737627,0.95988,0.9176604,0.96567905,0.9637597,,,,,0.043254137
0.36797518,0.34214127,0.34477222,0.36565244,0.36376694,0.52901715,0.5197294,0.7577731,0.7370679,0.95803654,0.91582954,0.96272385,0.9642956,,,,,0.043960094
0.3681578,0.3423015,0.345612,0.36363533,0.36278513,0.5274173,0.5208991,0.76125443,0.7371998,0.9583719,0.91417503,0.96961796,0.9685278,,,,,0.03330183
0.36645412,0.3413391,0.34149653,0.3639935,0.35819346,0.52750504,0.517064,0.7648091,0.734837,0.96344376,0.91677856,0.97255814,0.9702508,,,,,0.037188053
0.36481252,0.34020942,0.33934376,0.36296928,0.35830846,0.528121,0.5212224,0.76667094,0.73712796,0.9640413,0.92416835,0.9701474,0.97588074,,,,,0.019364119
0.36570078,0.3404229,0.3395962,0.3625378,0.35796458,0.5266488,0.5164607,0.7623043,0.73085445,0.9575598,0.91120553,0.9716707,0.967055,,,,,0.042449236
0.36553082,0.33998448,0.33962902,0.36286604,0.3598103,0.5304864,0.52363396,0.7653122,0.7362105,0.9596273,0.91411793,0.97601616,0.97200465,,,,,0.032528877
0.36644778,0.3414848,0.33971655,0.36272362,0.35735953,0.53075534,0.5250706,0.7650668,0.7374701,0.9643075,0.92749435,0.97189075,0.97552556,,,,,0.047295094
0.36605528,0.34137195,0.33959314,0.36115783,0.35616377,0.5313113,0.5206439,0.7717642,0.73863876,0.96569943,0.925231,0.97186553,0.97624946,,,,,0.040297985
0.36421707,0.33959803,0.3377503,0.35951635,0.3554992,0.52731204,0.51788396,0.7705224,0.7361729,0.9722879,0.92838925,0.9746816,0.97764355,,,,,0.053919077
0.36349815,0.33810288,0.3367407,0.35764238,0.3534924,0.52532876,0.51079816,0.7698379,0.7333848,0.98077285,0.92502755,0.9700877,0.97454524,,,,,0.044306993
0.3622679,0.33565938,0.33411354,0.35490015,0.3500986,0.5250778,0.5070129,0.7657949,0.7317279,0.97035766,0.9221412,0.9794471,0.97597057,,,,,0.049363375
0.3645767,0.33675507,0.33598348,0.35474533,0.3476698,0.52645713,0.50710464,0.7683581,0.7327697,0.9702868,0.9293984,0.9709418,0.9767948,,,,,0.047297001
0.36323202,0.33381408,0.33457264,0.35396302,0.34873915,0.5307395,0.5060184,0.7758429,0.7327697,0.9715112,0.94487107,0.97537476,0.9752316,,,,,0.033633947
0.36787498,0.33992848,0.34085336,0.36150843,0.35519844,0.5412923,0.51521087,0.77740693,0.7355223,,0.9369534,0.98131436,0.9782448,,,,,0.040657043
0.3904919,0.3631612,0.36218935,0.38599926,0.38082224,0.5608297,0.5422179,0.7908374,0.75669223,0.9830483,0.9361732,0.9797859,0.9755192,,,,,0.045526028
0.40668595,0.38274056,0.38202444,0.40660033,0.40078053,0.58967674,0.5592662,0.8224642,0.76140827,,0.92882144,0.9979251,0.99015725,,,,,0.045125246
0.43640158,0.41312355,0.4117936,0.44255012,0.43679035,0.63175243,0.5999133,0.8663595,0.81226945,,0.9487103,1.022455,1.0148734,,,,,0.063910961
